10000:99999,BOGUS NORWAY,NO,,ENRS,0,0,0
10003:99999,BOGUS NORWAY,NO,,ENSO,0,0,0
10010:99999,JAN MAYEN(NOR-NAVY),NO,,ENJA,70.933,-8.667,9
10013:99999,ROST,NO,,,0,0,0
10014:99999,STORD/SOERSTOKKEN,NO,,ENSO,59.8,5.35,49
10015:99999,FORDE/BRINGELAND,NO,,ENBL,61.45,5.867,150
10016:99999,RORVIK/RYUM,NO,,,64.85,11.233,14
10017:99999,FRIGG,NO,,ENFR,59.933,2.417,48
10020:99999,GRIMFJELLET,NO,,,77.167,16.5,676
10030:99999,HORNSUND RIVER,NO,,,77,15.5,12
10040:99999,NY-ALESUND II,NO,,ENAS,78.917,11.933,8
10050:99999,ISFJORD RADIO,NO,,ENIS,78.067,13.633,5
10060:99999,ANDA (LGT-H),NO,,,69.067,15.183,14
10070:99999,NY-ALESUND,NO,,,78.917,11.933,12
10080:99999,SVALBARD/LONGYEAR,NO,,ENSB,78.25,15.467,29
10090:99999,PHIPPSOYA (AUT),NO,,,83.683,20.867,4
10100:99999,ANDOYA/ANDENES(AFB),NO,,ENAN,69.3,16.149,14
10110:99999,KVITOYA,NO,,,80.1,31.4,16
10140:99999,LEIRKJOSEN,NO,,,69.55,17.917,9
10150:99999,HEKKINGEN (LGT-H),NO,,,69.6,17.833,14
10160:99999,SENJA/GRASMYRSKOGEN,NO,,,69.283,17.767,50
10170:99999,GIBOSTAD,NO,,,69.35,18.083,12
10230:99999,BARDUFOSS (CIV/MIL),NO,,ENDU,69.05,18.55,79
10250:99999,TROMSO/LANGNES,NO,,ENTC,69.683,18.917,10
10260:99999,TROMSO,NO,,,69.65,18.933,114
10280:99999,BJORNOYA ISLAND,NO,,ENBJ,74.517,19.017,14
10320:99999,OVERBYGD,NO,,,69.017,19.283,78
10330:99999,TORSVAG (LGT-H),NO,,,70.25,19.5,24
10340:99999,FUGLOYKALVEN (LH),NO,,,70.317,20.15,37
10350:99999,KVESMENES-RYENG,NO,,,69.25,19.983,37
10400:99999,SKJERVOY,NO,,,70.033,20.983,15
10410:99999,NORDREISA\OYENG,NO,,,69.75,21.033,4
10430:99999,LOPPA,NO,,,70.333,21.467,11
10435:99999,HASVIK,NO,,ENHK,70.483,22.15,10
10450:99999,NORDSTRAUM I KVAENA,NO,,,69.833,21.9,5
10460:99999,SORKJOSEN,NO,,ENSR,69.783,20.967,6
10470:99999,KAUTOKEINO II,NO,,ENKA,69.017,23.067,307
10490:99999,ALTA AIRPORT,NO,,ENAT,69.983,23.367,3
10510:99999,SOLOVOMI,NO,,,69.583,23.533,374
10520:99999,HAMMERFEST,NO,,ENHF,70.667,23.667,81
10530:99999,HAMMERFEST RADIO,NO,,,70.683,23.683,70
10550:99999,FRUHOLMEN (LGT-H),NO,,,71.1,24,14
10570:99999,CUOVDATMAKKI,NO,,,69.367,24.433,285
10590:99999,BANAK/LAKSELV (AFB),NO,,ENNA,70.067,24.983,8
10610:99999,BRENNELV,NO,,,70.067,25.117,34
10617:99999,OSEBERG,NO,,,0,0,0
10620:99999,HOPEN ISLAND,NO,,ENHO,76.5,25.067,10
10630:99999,KISTRAND III,NO,,,70.45,25.217,6
10650:99999,KARASJOK,NO,,,69.467,25.517,133
10660:99999,HELNES (LGT-H),NO,,,71.067,26.233,33
10670:99999,LEVAJOK-EVJEN,NO,,,69.9,26.417,112
10680:99999,HONNINGSVAG/VALAN,NO,,ENHV,71.017,25.983,14
10740:99999,MEHAMN,NO,,ENMH,71.033,27.833,13
10750:99999,RUSTEFJELBMA,NO,,,70.4,28.2,11
10780:99999,SLETNES (LGT-H),NO,,,71.1,28.217,10
10820:99999,NYBORG,NO,,,70.167,28.567,15
10830:99999,BERLEVAG,NO,,ENBV,70.867,29.033,13
10840:99999,PASVIK,NO,,,69.167,29.25,54
10850:99999,BUGOYFJORD,NO,,,69.85,29.417,8
10880:99999,VADSO,NO,,ENVD,70.067,29.85,39
10885:99999,BATSFJORD,NO,,ENBS,70.633,29.733,10
10890:99999,KIRKENES (CIV/MIL),NO,,ENKR,69.733,29.9,91
10920:99999,MAKKAUR (LGT-H),NO,,,70.7,30.083,9
10970:99999,SVARTNES,NO,,ENSS,70.35,31.05,12
10980:99999,VARDO,NO,,,70.367,31.1,15
11010:99999,BOGUS NORWEGIAN,NO,,,0,0,0
11020:99999,SKLINNA (LGT-H),NO,,,65.2,11,16
11025:99999,HEIDRUN,NO,,ENHE,65.333,7.317,80
11030:99999,LEKA ISLAND,NO,,,65.099,11.7,47
11050:99999,SKOMVAER FYR,NO,,,67.417,11.883,18
11060:99999,ROST II ISLAND,NO,,,67.517,12.067,19
11070:99999,ROST (NOR-AFB),NO,,ENRS,67.517,12.1,4
11080:99999,VEGA-VALLSJO,NO,,,65.7,11.85,2
11090:99999,SKALVAER,NO,,,65.867,12.183,6
11100:99999,YTTERHOLMEN FYR,NO,,,66,11.683,33
11120:99999,BRONNOYSUND/BRONNOY,NO,,ENBN,65.467,12.217,9
11133:99999,DAGALI,NO,,ENDI,60.417,8.517,798
11150:99999,MYKEN ISLAND,NO,,,66.767,12.483,21
